input,prediction,label
The son and his wife entered the country after visiting Guangdong not Hubei, 아들 부부는 후베이파리 오리퍼리 오리퍼리,이들 아들 부부가 후베이성이 아닌 광둥성을 방문한 다음에 입국했습니다
GS4774 is a yeastbased treatment vaccine containing HBV core protein and X protein and has recently undergone a twophase clinical trial, GS4774는 HBV 코어 단백질과 X 단백질이 함유된 효모 기반 치료백신으로 최근 2상 임상시험을 거,GS4774는 HBV core protein과 X protein을 함유한 효모 기반의 치료 백신으로 최근 2상 임상 시험이 진행되었다
The head of the Gu shall operate the cultural centers Provided That where necessary for the efficient management and use of the cultural centers the head of the Gu may entrust the whole or part of the operation of cultural centers and of the management of cultural facilities to a corporation an organization etc, 구청장은 문화센터를 운영하여야 한다 다만 문화원의 효율적인 관리 및 이용을 위하여 필요한 경우에는 문화원 운영 및 문화시설 관리의 전부 또는 일부를 법인단체 등에 위탁할 수 있다 [SEP],문화관 운영은 구청장이 한다 다만 문화관의 효율적인 관리와 이용을 위하여 필요할 경우 구청장은 법인 또는 단체 등에게 문화관의 운영 및 시설물 관리 전부 또는 일부를 위탁할 수 있다
I was so happy at that time that I cant forget it, 그때 너무 행복해 보였는데 어리석은 어리,나는 이때 정말 행복했으므로 잊을 수 없어요
It is said that the position for the target of the public project is selected based on a comprehensive review of the results of the management evaluation of each institution the ability to perform the policy and the expertise, 공공기관의 경영평가 결과 정책수행능력 전문성 등을 종합적으로 검토해 공공사업 대상에 대한 입장은 전제상수리상수리상수리상수리상수,공모 대상 직위는 기관별 경영평가 결과 및 정책수행능력 전문성 등을 종합적으로 검토해 선정한 것으로 알려졌다
Furthermore it is necessary to consider introducing a damage relief fund and whistleblower system, 나아가 파손안정자금과 공익신고제 도입을 검토할 필요가 있다 [SEP],나아가 피해구제기금 내부고발자제도를 도입하는 것도 검토할 필요가 있다
The control of nanopore size is fundamentally important in biomolecule sensing applications, 나노포어 크기 조절은 생체분자 감지용접착식 어수선 어,나노포어 크기의 조절은 생체분자 감지 응용 분야에서 근본적으로 중요하다
The sleep experience room is operated by a nonfacetoface selforder method through a kiosk, 수면체험실은 키오스크바시퍼니어 오리퍼리 오리퍼리더,수면 체험실은 키오스크를 통해 비대면 셀프 오더 방식으로 운영한다
Early last year many stock firms forecasted breaking through the COSPI 3000 on the contrary the stocks fell as a result of the trade war, 지난해 초 상당수 증권사들이 코픽스3000파를 돌파하며 반대로 하락한 어수선상수리상수리상수,지난해 초에도 많은 증권사들이 코스피 3000 돌파 전망을 내놨지만 무역전쟁이라는 암초를 만나면서 증시는 오히려 고꾸라졌다
While contemplating the monk said that if the villagers were asked to pave the way along the low valley of the mountain the visitor would be reduced, 스님은 고민하다가 마을 사람들에게 산의 낮은 계곡을 따라 가자고 하수리상어리상수리상수리상수리상,고민하던 중은 마을 사람들로 하여금 산줄기의 낮은 골짜기를 따라 길을 닦게 하면 손님 발길이 줄어들 것이라고 말했다
Female perpetrators were twice as many as male perpetrators with 467 in their 20s, 여자 가해자는 20대 남성 가해자보다 2배 많았고 어수선 어수선 어수,여성 가해자가 남성 가해자의 2배였고 20대가 467로 가장 많았다
Law education is conducted during the first three months of basic theory education during the first stage of education, 법 교육은 교육 1단계 기초 이론 교육 첫 3개월 동안에 하수유체 어수,법학 교육은 1단계 교육 중 전반부 3개월 동안의 기본 이론 교육에서 실시된다
The damage to the second generation of Koreans has been immense as the South Korean Constitutional Courts decision on the inborn multiple citizenships have been delayed even after two and a half years, 한국 헌법재판소의 태생복종 재판부가 2년 반 만에 미뤄지면서 한인 2세 반년이 지나도 미루어리상어리상수리상수리,선천적 복수국적에 대한 한국 헌법재판소의 판결이 2년 반이나 지연되고 있어 한인 2세들의 피해가 눈덩이처럼 불어나고 있다
The purge condition may be whether the hydrogen concentration of the anode 16 is less than or equal to a predetermined reference concentration, 퍼지 조건은 양극16의 수소 농도가 미리 정해진 기준 농도 이하여부상수리상,퍼지 조건은 애노드16의 수소 농도가 미리 정해진 기준 농도 이하인지 여부일 수 있다
By gender women accounted for 10610 cases 59 percent 3281 more than men of 7329 41 percent the survey showed, 성별로는 여성이 10610건593281 남성 7329명41보다 많은 것으로 조사됐다 [SEP],상담 희망자 성별로는 여성이 10610건59으로 남성 732941보다 3281건이 더 많은 것으로 조사됐다
These countries criticized the Netherlands as a hotbed of organized crime in the distribution of drugs and the fact that the Netherlands has emerged as the center of cannabis tourism, 이들 국가들은 네덜란드가 마약 유통에 있어 조직범죄의 온상이라고 비판했고 네덜란드가 대마초관광의 중심지로 떠오른 것은 물론 미사,이들 국가들은 네덜란드가 대마초 관광지의 중심부로 부상했다는 사실과 마약을 유통시키는 조직범죄의 온상이라고 비판했다
It is unlikely that any single bank will monopolize the entire Gu treasury, 어느 한 은행도 구금 전체를 독점할 가능성은 낮고,한 은행이 전체 구금고를 독식하는 일은 없을 것으로 보인다
The Governor of the Special SelfGoverning Province the Mayor the Head of the Gun or the Head of the Gu may request the heads of elementary and middle schools to submit inspection data on the completion of vaccination under Article 10 of the School Health Act, 특별자치도지사 시장군수구청장은 학교보건법 제10조에 따른 예방접종 완료에 대한 검사자료의 제출을 요구할 수 있다 [SEP],특별자치도지사시장군수구청장은 초등학교와 중학교의 장에게 학교보건법 제10조에 따른 예방접종 완료 여부에 대한 검사 자료를 제출하도록 요청할 수 있다
